"ano","variable","escenario","valor_pct_pib","unidad","estado_dato","fuente","detalle_fuente"
"2052","gasto_sanitario_publico","baseline","7.0757","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 7 Health care spending as % of GDP, baseline"
"2053","gasto_sanitario_publico","baseline","7.0929","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 7 Health care spending as % of GDP, baseline"
"2054","gasto_sanitario_publico","baseline","7.1084","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 7 Health care spending as % of GDP, baseline"
"2055","gasto_sanitario_publico","baseline","7.1203","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 7 Health care spending as % of GDP, baseline"
"2056","gasto_sanitario_publico","baseline","7.1321","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 7 Health care spending as % of GDP, baseline"
"2057","gasto_sanitario_publico","baseline","7.1402","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 7 Health care spending as % of GDP, baseline"
"2058","gasto_sanitario_publico","baseline","7.1461","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 7 Health care spending as % of GDP, baseline"
"2059","gasto_sanitario_publico","baseline","7.1504","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 7 Health care spending as % of GDP, baseline"
"2060","gasto_sanitario_publico","baseline","7.1538","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 7 Health care spending as % of GDP, baseline"
"2061","gasto_sanitario_publico","baseline","7.152","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 7 Health care spending as % of GDP, baseline"
"2062","gasto_sanitario_publico","baseline","7.1518","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 7 Health care spending as % of GDP, baseline"
"2063","gasto_sanitario_publico","baseline","7.1491","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 7 Health care spending as % of GDP, baseline"
"2064","gasto_sanitario_publico","baseline","7.1451","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 7 Health care spending as % of GDP, baseline"
"2065","gasto_sanitario_publico","baseline","7.1413","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 7 Health care spending as % of GDP, baseline"
"2066","gasto_sanitario_publico","baseline","7.1348","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 7 Health care spending as % of GDP, baseline"
"2067","gasto_sanitario_publico","baseline","7.1294","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 7 Health care spending as % of GDP, baseline"
"2068","gasto_sanitario_publico","baseline","7.1237","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 7 Health care spending as % of GDP, baseline"
